p(yes)(no),0.5274824259,0.4725175741
p(default),0.0000031505,0.0000035124
half,0.0005731703,0.0008286150
hostag,0.0000566883,0.0000772450
don't,0.0013636397,0.0018994928
hamlet,0.0000944796,0.0000000014
hall,0.0001700624,0.0000877782
pretend,0.0000661361,0.0001299111
wreck,0.0000535390,0.0000737339
satan,0.0000000012,0.0000912893
drunk,0.0000535390,0.0000983115
ted,0.0001070768,0.0000772450
successfulli,0.0000787332,0.0000772450
would,0.0025761127,0.0030195256
stumbl,0.0000976289,0.0001334222
pick,0.0002330480,0.0003089759
ten,0.0001543160,0.0002422655
sake,0.0000000012,0.0000948004
clich,0.0002298987,0.0005055961
solid,0.0002834365,0.0001509776
gabriel,0.0000000012,0.0001088447
antonio,0.0000000012,0.0000667118
unbear,0.0000000012,0.0000702229
rounder,0.0000692854,0.0000000014
0,0.0000000012,0.0001193779
1,0.0002928843,0.0004529300
remak,0.0000566883,0.0001790662
2,0.0005857674,0.0006214616
3,0.0002771379,0.0003791974
size,0.0000724347,0.0001123558
4,0.0001984059,0.0003511088
temper,0.0000598376,0.0000000014
left,0.0005448268,0.0005652844
5,0.0001700624,0.0002071548
6,0.0001039275,0.0001018225
7,0.0001700624,0.0001193779
8,0.0002173016,0.0001264001
9,0.0000692854,0.0001088447
object,0.0001385696,0.0001123558
besid,0.0000881811,0.0001088447
weir,0.0000661361,0.0000000014
hang,0.0001606145,0.0001860883
role,0.0015998358,0.0014430531
cliff,0.0000000012,0.0000596896
hank,0.0002739886,0.0001474665
roll,0.0001952566,0.0002071548
turn,0.0014203268,0.0013447430
blond,0.0000787332,0.0001790662
elect,0.0000535390,0.0000000014
gold,0.0001070768,0.0001088447
result,0.0005070354,0.0004599522
same,0.0011620858,0.0010849235
beatti,0.0000818825,0.0000000014
shouldn't,0.0000881811,0.0001404444
surfac,0.0000976289,0.0001158668
quiet,0.0001291217,0.0000000014
after,0.0023682602,0.0023875322
connect,0.0002330480,0.0001439554
hand,0.0008093663,0.0008215929
cigarett,0.0000000012,0.0000632007
b,0.0001637638,0.0003616421
address,0.0000629868,0.0000000014
c,0.0001102260,0.0001439554
piec,0.0004503484,0.0004739965
d,0.0001637638,0.0002001326
e,0.0001795102,0.0002176880
f,0.0001007782,0.0000912893
corni,0.0000000012,0.0000912893
g,0.0000976289,0.0001264001
h,0.0000724347,0.0000000014
i,0.0087896433,0.0113934389
j,0.0001574653,0.0001931105
gibson,0.0001889581,0.0001018225
k,0.0000000012,0.0000842672
l,0.0002078537,0.0002176880
conrad,0.0000000012,0.0000596896
blood,0.0003023322,0.0002598209
neighbor,0.0001228232,0.0000807561
m,0.0001700624,0.0001053336
n,0.0000881811,0.0000632007
o,0.0001259725,0.0001369333
straight,0.0002047045,0.0003089759
p,0.0000913304,0.0000000014
poorli,0.0000000012,0.0002211991
hewitt,0.0000000012,0.0000842672
r,0.0002393466,0.0002527988
s,0.0011305930,0.0012148332
t,0.0001952566,0.0003054649
throw,0.0001795102,0.0003370645
u,0.0002424958,0.0002071548
x,0.0001795102,0.0001790662
thank,0.0002613915,0.0001685330
obvious,0.0002676901,0.0003581310
fifth,0.0000535390,0.0000772450
imag,0.0004346019,0.0002352434
demonstr,0.0001354203,0.0001158668
thu,0.0001606145,0.0001755551
violent,0.0001921073,0.0001790662
incid,0.0000944796,0.0000000014
cgi,0.0000661361,0.0000596896
choreograph,0.0000000012,0.0000596896
wrestl,0.0000000012,0.0001895994
confront,0.0001669131,0.0001158668
advic,0.0000661361,0.0000807561
good,0.0032122674,0.0034373435
violenc,0.0004440498,0.0003370645
fantasi,0.0002330480,0.0001685330
tim,0.0001795102,0.0002527988
serious,0.0001952566,0.0003089759
roommat,0.0000850318,0.0000000014
advis,0.0000000012,0.0000632007
laugh,0.0007306343,0.0009304362
practic,0.0001322710,0.0001544887
fantast,0.0001763609,0.0000000014
nightmar,0.0001102260,0.0001193779
owen,0.0000598376,0.0000000014
shakespear,0.0001763609,0.0000000014
reduc,0.0000535390,0.0000000014
check,0.0001070768,0.0002001326
diseas,0.0000000012,0.0000632007
onto,0.0001448681,0.0001825773
gone,0.0002015552,0.0002914206
pollock,0.0000535390,0.0000000014
resolut,0.0000818825,0.0000000014
freddi,0.0000000012,0.0001264001
cia,0.0000535390,0.0000000014
embodi,0.0000598376,0.0000000014
memphi,0.0000000012,0.0000596896
hundr,0.0001322710,0.0001615108
harrelson,0.0000724347,0.0000702229
fortun,0.0001606145,0.0001088447
disco,0.0000000012,0.0000632007
eszterha,0.0000000012,0.0000632007
primari,0.0000724347,0.0000000014
root,0.0001511667,0.0001615108
darren,0.0000000012,0.0000737339
patrick,0.0001196739,0.0001299111
ridicul,0.0001039275,0.0004423968
hard,0.0007306343,0.0008005264
spoil,0.0000755840,0.0000702229
tiresom,0.0000000012,0.0000632007
lend,0.0000535390,0.0000702229
societi,0.0002393466,0.0001439554
caricatur,0.0000818825,0.0000000014
pilot,0.0001102260,0.0001158668
ticket,0.0001007782,0.0000948004
cheek,0.0000000012,0.0000596896
creepi,0.0001291217,0.0001334222
cheer,0.0000976289,0.0000807561
room,0.0004188555,0.0003791974
energi,0.0001795102,0.0001579997
better,0.0009888753,0.0015448743
poignant,0.0000787332,0.0000000014
well,0.0028752944,0.0023734879
wilder,0.0000535390,0.0000000014
empti,0.0000755840,0.0001474665
egoyan,0.0000818825,0.0000000014
gadget,0.0000000012,0.0000877782
expos,0.0000755840,0.0000000014
pile,0.0000000012,0.0000948004
hatr,0.0000566883,0.0000000014
satir,0.0001858088,0.0001369333
reveng,0.0001228232,0.0001615108
struck,0.0000598376,0.0000000014
tortur,0.0000724347,0.0000948004
ordel,0.0001196739,0.0000000014
block,0.0000818825,0.0000877782
hate,0.0002897350,0.0003546199
flow,0.0000755840,0.0000667118
order,0.0005133340,0.0004213303
colleagu,0.0000629868,0.0000000014
capabl,0.0000913304,0.0000983115
went,0.0002487944,0.0003019538
distant,0.0000629868,0.0000000014
crazi,0.0001448681,0.0001439554
quinn,0.0000755840,0.0000000014
gore,0.0001385696,0.0001579997
gori,0.0000598376,0.0000596896
coach,0.0000000012,0.0001334222
conceiv,0.0000535390,0.0000632007
women,0.0003369743,0.0004248414
frankli,0.0000000012,0.0001193779
raimi,0.0000755840,0.0000000014
subtitl,0.0000818825,0.0000000014
woman,0.0007117386,0.0008251039
roth,0.0000598376,0.0000632007
fuck,0.0000000012,0.0000596896
save,0.0004912890,0.0008602147
duval,0.0000976289,0.0000667118
overli,0.0000787332,0.0001158668
footag,0.0001669131,0.0001299111
matter,0.0005322296,0.0005477290
toi,0.0003464221,0.0000877782
ton,0.0000535390,0.0000667118
tom,0.0004062584,0.0003265313
top,0.0005322296,0.0005582623
too,0.0018958681,0.0023137996
have,0.0062954131,0.0083423149
ironi,0.0000598376,0.0000000014
presum,0.0000000012,0.0001123558
mickei,0.0001070768,0.0000000014
andi,0.0000850318,0.0000000014
avail,0.0001259725,0.0000842672
product,0.0005700210,0.0006530613
question,0.0006582009,0.0006671056
storytel,0.0001133753,0.0000000014
walter,0.0000913304,0.0000702229
lover,0.0001763609,0.0002036437
asian,0.0000724347,0.0000000014
spirit,0.0002487944,0.0001650219
horrifi,0.0000818825,0.0000000014
pimp,0.0000000012,0.0000912893
glimps,0.0000661361,0.0000667118
snipe,0.0000000012,0.0000948004
cheap,0.0001228232,0.0002422655
littl,0.0020155408,0.0020996241
cheat,0.0000976289,0.0000912893
regard,0.0001259725,0.0000000014
witch,0.0001354203,0.0001404444
rose,0.0002015552,0.0000702229
ain't,0.0000000012,0.0000632007
thousand,0.0001196739,0.0000842672
imit,0.0000000012,0.0000632007
spoof,0.0000000012,0.0000807561
com,0.0000000012,0.0000842672
instal,0.0001102260,0.0000877782
col,0.0000566883,0.0000000014
con,0.0000598376,0.0001544887
minor,0.0002267494,0.0001825773
cop,0.0003338250,0.0004213303
pleas,0.0001700624,0.0002422655
remot,0.0000818825,0.0001474665
upon,0.0004188555,0.0003862196
cox,0.0000598376,0.0000000014
proce,0.0000787332,0.0000702229
whenev,0.0000787332,0.0000737339
biggest,0.0002047045,0.0002141769
lai,0.0000692854,0.0000000014
function,0.0000692854,0.0000000014
west,0.0001039275,0.0003195092
worthwhil,0.0000000012,0.0000737339
plenti,0.0002141523,0.0001860883
hilari,0.0004471991,0.0001615108
actress,0.0002519437,0.0003335535
comparison,0.0001354203,0.0001369333
law,0.0003306757,0.0002282212
patriot,0.0000598376,0.0000000014
rout,0.0000661361,0.0000000014
tri,0.0005101847,0.0007583935
less,0.0006613502,0.0005793287
translat,0.0000787332,0.0000000014
welcom,0.0001165246,0.0001264001
200,0.0000000012,0.0000632007
were,0.0015085066,0.0016818062
try,0.0010109203,0.0012850547
minni,0.0000598376,0.0000000014
hawk,0.0000000012,0.0000667118
chicken,0.0001700624,0.0000000014
lauri,0.0000598376,0.0000000014
respons,0.0001984059,0.0002106659
laura,0.0000629868,0.0000000014
wound,0.0000976289,0.0000596896
teacher,0.0001952566,0.0001228890
craze,0.0000000012,0.0000912893
distanc,0.0000566883,0.0000737339
floor,0.0001385696,0.0001088447
sceneri,0.0000000012,0.0000772450
cry,0.0001007782,0.0001018225
doctor,0.0001606145,0.0002492877
mcgowan,0.0000000012,0.0000632007
leonard,0.0000661361,0.0000000014
analyz,0.0000566883,0.0000667118
spoken,0.0000850318,0.0000000014
respond,0.0000566883,0.0000000014
sport,0.0000629868,0.0001790662
angl,0.0000976289,0.0001579997
dreamwork,0.0000913304,0.0000000014
caught,0.0002078537,0.0001193779
gotten,0.0001007782,0.0000807561
conneri,0.0000000012,0.0000772450
led,0.0001858088,0.0001228890
flawless,0.0000944796,0.0000000014
absorb,0.0000787332,0.0000000014
lee,0.0003369743,0.0003335535
pitt,0.0000692854,0.0000877782
thirti,0.0000787332,0.0001334222
enhanc,0.0000724347,0.0000632007
concern,0.0002267494,0.0001544887
leg,0.0000755840,0.0000983115
mountain,0.0000787332,0.0001053336
leo,0.0000000012,0.0000807561
let,0.0006896937,0.0007303049
piti,0.0000598376,0.0000000014
state,0.0004409005,0.0003335535
press,0.0001165246,0.0001509776
worker,0.0002078537,0.0000912893
element,0.0005227818,0.0004775075
genet,0.0000913304,0.0000000014
gener,0.0008440084,0.0008637258
pace,0.0003968106,0.0003019538
night,0.0007558286,0.0006214616
statu,0.0001007782,0.0000807561
courtnei,0.0000000012,0.0000702229
pack,0.0001417189,0.0001228890
jackal,0.0000000012,0.0000702229
piss,0.0000000012,0.0000596896
each,0.0010644581,0.0007829710
creativ,0.0001448681,0.0001544887
lewi,0.0000692854,0.0000772450
anim,0.0008629041,0.0005196404
suppli,0.0000598376,0.0000632007
1900,0.0000000012,0.0000842672
cut,0.0003842135,0.0004634632
warrior,0.0000629868,0.0001720440
anaconda,0.0000000012,0.0000737339
natasha,0.0000000012,0.0000877782
dread,0.0000881811,0.0000983115
two,0.0024910822,0.0025385084
